"Item + description (per 100g)","Calories (kcal per 100g)","Protein (g per 100g)","Carbs (g per 100g)","Fats (g per 100g)"
"Gimlet","188","0.1","5.08","0.03"
"Gin","231","0","0","0"
"Gin and tonic","84","0","6.57","0"
"Gin fizz","66","0.03","2.22","0.01"
"Ginger root, pickled, canned, with artificial sweetener","20","0.33","4.83","0.1"
"Ginger root, raw","80","1.82","17.77","0.75"
"Gizzard","153","30.15","0","2.66"
"Glug","96","0.1","6.24","0.14"
"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme","474","2.19","76.03","17.89"
"Glutino, Gluten Free Cookies, Vanilla Creme","487","2.19","77.34","18.79"
"Glutino, Gluten Free Wafers, Lemon Flavored","515","0","74.39","24.18"
"Glutino, Gluten Free Wafers, Milk Chocolate","541","4.06","62.82","30.42"
"Gnocchi, cheese","178","8.51","9.38","11.96"
"Gnocchi, potato","135","2.44","17.2","6.33"
"Goat","142","26.88","0","3.01"
"Goat milk","69","3.56","4.45","4.14"
"Goji berries, dried","349","14.26","77.06","0.39"
"Goose egg, cooked","224","12.94","1.27","18.09"
"Goose, domesticated, meat and skin, cooked, roasted","305","25.16","0","21.92"
"Goose, domesticated, meat and skin, raw","371","15.86","0","33.62"
"Goose, domesticated, meat only, cooked, roasted","238","28.97","0","12.67"
"Goose, domesticated, meat only, raw","161","22.75","0","7.13"
"Goose, liver, raw","133","16.37","6.32","4.28"
"Gooseberries, canned, light syrup pack, solids and liquids","73","0.65","18.75","0.2"
"Gooseberries, raw","44","0.88","10.18","0.58"
"Gordita, cheese only","324","10.65","22.39","21.59"
"Gordita, meat","296","16.99","13.12","19.36"
"Gordita, meat, with beans","252","11.41","16.64","15.59"
"Gordita, with beans","207","5.83","20.17","11.81"
"Gordita/sope shell, plain, no filling","260","3.85","37.2","11.19"
"Gourd, dishcloth (towelgourd), cooked, boiled, drained, with salt","54","0.66","13.75","0.34"
"Gourd, white-flowered (calabash), cooked, boiled, drained, with salt","13","0.6","3.1","0.02"
"Gourd, white-flowered (calabash), cooked, boiled, drained, without salt","15","0.6","3.69","0.02"
"Graham crackers","430","6.69","77.66","10.6"
"Graham crackers (Teddy Grahams)","430","6.69","77.66","10.6"
"Graham crackers, chocolate covered","500","4","66.78","25.8"
"Graham crackers, reduced fat","386","5.71","77.96","5.71"
"Graham crackers, sandwich, with filling","483","4.5","72.1","20"
"Granola bar, soft, milk chocolate coated, peanut butter","536","9.6","54.1","31.2"
"Grape juice drink, light","23","0.06","5.51","0.1"
"Grape juice, canned or bottled, unsweetened, with added ascorbic acid","60","0.37","14.77","0.13"
"Grape leaves stuffed with rice","168","2.28","13.88","11.95"
"Grape leaves, canned","69","4.27","11.71","1.97"
"Grape leaves, raw","93","5.6","17.31","2.12"
"Grapefruit juice, white, canned or bottled, unsweetened","37","0.55","7.59","0.7"
"Grapefruit juice, white, canned, sweetened","46","0.58","11.13","0.09"
"Grapefruit juice, white, frozen concentrate, unsweetened, undiluted","146","1.97","34.56","0.48"
"Grapefruit, raw, pink and red and white, all areas","32","0.63","8.08","0.1"
"Grapefruit, raw, pink and red, all areas","42","0.77","10.66","0.14"
"Grapefruit, raw, pink and red, California and Arizona","37","0.5","9.69","0.1"
"Grapefruit, sections, canned, light syrup pack, solids and liquids","60","0.56","15.44","0.1"
"Grapes, american type (slip skin), raw","67","0.63","17.15","0.35"
"Grapes, canned, thompson seedless, heavy syrup pack, solids and liquids","76","0.48","19.65","0.1"
"Grapes, canned, thompson seedless, water pack, solids and liquids","40","0.5","10.3","0.11"
"Grapes, muscadine, raw","57","0.81","13.93","0.47"
"Gravy, au jus, canned","16","1.2","2.5","0.2"
"Gravy, au jus, dry","313","9.2","47.49","9.63"
"Gravy, beef, canned, ready-to-serve","53","3.75","4.81","2.36"
"Gravy, brown instant, dry","380","8.53","59.78","11.85"
"Gravy, brown, dry","367","10.74","59.38","9.61"
"Gravy, chicken, canned or bottled, ready-to-serve","48","0.71","5.29","2.62"
"Gravy, chicken, dry","381","11.27","62.09","9.73"
"Gravy, for use with vegetables","57","0.31","11.24","1.05"
"Gravy, HEINZ Home Style, savory beef","39","1.09","6.24","1.13"
"Gravy, instant beef, dry","369","9.8","61.1","9.48"
"Gravy, instant turkey, dry","409","11.72","57.56","14.66"
"Gravy, made with soy sauce","46","0.82","9.82","0.29"
"Gravy, meat or poultry, low sodium, prepared","53","3.8","6.16","2.4"
"Gravy, mushroom, dry, powder","328","10","64.66","4"
"Gravy, onion, dry, mix","322","9","67.64","3"
"Gravy, pork, dry, powder","367","8.78","63.57","8.63"
"Gravy, turkey, canned, ready-to-serve","51","2.6","5.1","2.1"
"Gravy, turkey, dry","367","10.42","65.12","7.19"
"Gravy, unspecified type, dry","344","13","58","8"
"Gravy, vegetarian","144","3.84","9.21","10.2"
"Greek Salad, no dressing","48","2.75","4.35","2.26"
"Green bean casserole","56","1.96","7.05","2.21"
"Green beans, canned, reduced sodium, cooked, fat added, NS as to fat type","44","1.1","4.2","3"
"Green beans, canned, reduced sodium, cooked, no added fat","22","1.12","4.32","0.46"
"Green beans, cooked, from restaurant","78","1.96","7.32","4.6"
"Green beans, cooked, Szechuan-style","106","2.54","8.37","6.96"
"Green beans, fresh, cooked, fat added, NS as to fat type","64","2","7.48","2.93"
"Green beans, fresh, cooked, no added fat","42","2.05","7.7","0.29"
"Green beans, frozen, cooked, fat added, NS as to fat type","50","1.45","6.25","2.71"
"Green beans, frozen, cooked, no added fat","28","1.49","6.43","0.17"
"Green beans, pickled","54","1.63","11","0.25"
"Green peas, canned, reduced sodium, cooked, fat added, NS as to fat type","93","3.88","11.84","3.56"
"Green peas, canned, reduced sodium, cooked, no added fat","66","3.99","12.19","0.38"
"Green peas, cooked, from restaurant","119","5.37","14.28","4.72"
"Green peas, fresh, cooked, fat added, NS as to fat type","106","5.47","14.58","3.06"
"Green peas, fresh, cooked, no added fat","84","5.63","15.01","0.42"
"Green pepper, cooked, as ingredient","25","0.77","5.14","0.12"
"Green plantain with cracklings, Puerto Rican style","358","13.16","26.97","22.82"
"Greens with ham or pork","47","4.91","4.68","1.41"
"Greens, canned, cooked","41","1.32","2.71","2.82"
"Greens, fresh, cooked, fat added","58","2.89","5.02","3.4"
"Greens, fresh, cooked, no added fat","37","2.97","5.16","0.97"
"Greyhound","87","0.42","6.28","0.36"
"Grilled cheese sandwich, American cheese, on wheat bread","341","12.05","26.13","20.98"
"Grilled cheese sandwich, American cheese, on white bread","343","11.03","28.09","20.78"
"Grilled cheese sandwich, cheddar cheese, on wheat bread","366","14.4","24.42","23.46"
"Grilled cheese sandwich, cheddar cheese, on white bread","368","13.38","26.38","23.26"
"Grilled cheese sandwich, reduced fat cheese, on wheat bread","305","12.34","27.38","16.25"
"Grilled cheese sandwich, reduced fat cheese, on white bread","307","11.32","29.33","16.05"
"Grits, instant, made with water, fat added","85","1.36","14.36","2.85"
"Grits, instant, made with water, no added fat","65","1.38","14.84","0.4"
"Grits, regular or quick, made with water, fat added","71","1.19","12.2","1.84"
"Grits, regular or quick, made with water, no added fat","58","1.2","12.41","0.28"
"Grits, with cheese, fat added","108","3.56","11.36","5.28"
"Grits, with cheese, no added fat","97","3.6","11.54","3.92"
"Groundcherries, (cape-gooseberries or poha), raw","53","1.9","11.2","0.7"
"Groundhog","159","28.08","0","4.34"
"Guacamole with tomatoes","145","1.87","8.09","13.09"
"Guacamole, NFS","155","1.95","8.45","14.18"
"Guanabana nectar, canned","59","0.11","14.93","0.17"
"Guava nectar, canned, with added ascorbic acid","63","0.09","16.25","0.06"
"Guava nectar, with sucralose, canned","48","0.3","13.3","0.07"
"Guava paste","292","0.1","72.56","0.27"
"Guava sauce, cooked","36","0.32","9.48","0.14"
"Guava, raw","68","2.55","14.32","0.95"
"Guavas, common, raw","68","2.55","14.32","0.95"
"Guavas, strawberry, raw","69","0.58","17.36","0.6"
"Guinea hen, meat and skin, raw","158","23.4","0","6.45"
"Guinea hen, meat only, raw","110","20.64","0","2.47"
"Guisada, beef","115","10.85","2.52","6.62"
"Gumbo with rice","89","8.16","6.55","3.43"
"Gumbo, no rice","83","8.54","4.03","3.68"
"Gums, seed gums (includes locust bean, guar)","332","4.6","77.3","0.5"
"Gyro sandwich","184","11.24","18.78","6.76"
"Ham and cheese loaf or roll","241","13.6","4","18.7"
"Ham and cheese spread","245","16.18","2.28","18.53"
"Ham and noodles with cream or white sauce","139","6.81","15.32","5.44"
"Ham and noodles, no sauce","144","7.15","15.88","5.54"
"Ham and rice with mushroom sauce","136","5.37","16.28","5.19"
"Ham and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce","120","7.56","5.12","7.83"
"Ham and vegetables including carrots broccoli, and/or dark- green leafy; no potatoes, no sauce","115","7.45","2.59","8.28"
"Ham biscuit sandwich","322","11.56","28.24","18.1"
"Ham croquette","273","17.97","2.6","20.74"
"Ham luncheon meat, loaf type","117","17.99","1.57","4.39"
"Ham or pork and potatoes with cheese sauce","127","7.86","11.11","5.69"
"Ham or pork and potatoes with gravy","126","5.4","11.68","6.33"
"Ham or pork and rice, no sauce","143","6.73","16.8","4.99"
"Ham or pork salad","230","13.26","2.83","18.09"
"Ham or pork with gravy","160","20.15","1.58","7.49"
"Ham or pork with mushroom sauce","167","20.55","1.84","7.98"
"Ham or pork with stuffing","143","6.26","10.43","8.27"
"Ham or pork with tomato-based sauce","153","20.3","1.59","6.8"
"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce","155","9.18","15.32","6.42"
"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce","151","8.42","18.31","4.91"
"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","148","8.35","16.74","5.19"
"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","125","6.48","13.75","5.02"
"Ham salad sandwich on wheat","241","12.64","17.03","13.38"
"Ham salad sandwich on white","242","11.98","18.29","13.26"
"Ham salad spread","216","8.68","10.64","15.53"
"Ham sandwich on wheat","185","13.96","23.62","3.86"
"Ham sandwich on wheat, with cheese","212","14.94","20.78","7.62"
"Ham sandwich on white","187","12.94","25.58","3.66"
"Ham sandwich on white, with cheese","213","14.08","22.43","7.46"
"Ham sandwich or sub, restaurant","178","13.34","22.85","3.66"
"Ham sandwich or sub, with cheese, restaurant","210","14.59","19.7","8.06"
"Ham sandwich wrap","230","13.54","22.51","9.38"
"Ham stroganoff","131","7.62","5.19","8.85"
"Ham, canned","167","20.94","0.49","8.43"
"Ham, chopped, canned","239","16.06","0.26","18.83"
"Ham, chopped, not canned","221","16.5","0","16.7"
"Ham, for use with vegetables","117","17.99","1.57","4.39"
"Ham, honey, smoked, cooked","122","17.93","7.27","2.37"
"Ham, minced","263","16.28","1.84","20.68"
"Ham, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce","126","5.56","15.02","5.06"
"Ham, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","128","5.47","13.4","5.9"
"Ham, prosciutto","195","27.8","0.3","8.32"
"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)","106","16.7","0.27","3.73"
"Ham, sliced, regular (approximately 11% fat)","164","16.6","3.63","8.8"
"Ham, sliced, restaurant","121","19.6","2.36","3.68"
"Ham, smoked, extra lean, low sodium","141","18.52","10.7","2.71"
"Ham, turkey, sliced, extra lean, prepackaged or deli","134","19.6","0.93","5.8"
"Hamburger (Burger King)","254","13.63","25.98","10.24"
"Hamburger (McDonalds)","263","13.3","29.57","10.18"
"Hamburger slider","288","17.76","19.71","14.72"
"Hamburger slider, from fast food","285","15.27","29.18","11.35"
"Hamburger wrap sandwich, from fast food","299","16.86","20.38","16.06"
"Hamburger, from fast food, 1 large patty","289","18.43","17.12","15.63"
"Hamburger, from fast food, 1 medium patty","288","17.51","20.68","14.38"
"Hamburger, from fast food, 1 small patty","285","15.51","28.27","11.68"
"Hamburger, from school cafeteria","243","17.8","25.67","7.36"
"Hamburger, on wheat bun, 1 large patty","283","18.99","15.52","15.66"
"Hamburger, on wheat bun, 1 medium patty","281","18.18","18.74","14.4"
"Hamburger, on white bun, 1 small patty","287","17.1","22.22","13.83"
"Hard cider","56","0","5.92","0"
"Hard seltzer","24","0.07","0.55","0"
"Hash, NS as to type of meat","164","8.73","9.27","10.24"
"Haupia","274","1.98","23.52","20.45"
"Hayacas, Puerto Rican style","157","5.82","9.37","10.83"
"Hazelnuts","628","14.95","16.7","60.75"
"Hazelnuts, beaked (Northern Plains Indians)","628","14.89","22.98","52.99"
"Head cheese","157","13.83","0","10.9"
"Headcheese, pork","157","13.83","0","10.9"
"Heart","164","28.25","0.15","4.69"
"Hearts of palm, canned","28","2.52","4.62","0.62"
"Hearts of palm, raw","115","2.7","25.61","0.2"
"Heinz, Weight Watcher, Chocolate Eclair, frozen","241","4.4","40.3","6.9"
"Hog maws","250","26.53","0","15.97"
"Hoisin sauce","220","3.31","44.08","3.39"
"Hollandaise sauce","546","5.4","1.03","57.98"
"Hominy, canned, white","72","1.48","14.26","0.88"
"Hominy, cooked","88","1.45","13.8","2.91"
"Honey","304","0.3","82.4","0"
"Honey butter","485","0.53","48.5","33.85"
"Honey mustard dip","275","1.77","25.16","18.01"
"Honey mustard dressing","464","0.87","23.33","40.83"
"Honey mustard dressing, fat free","169","1.07","38.43","1.47"
"Honey mustard dressing, light","207","0.98","28.26","10"
"Honey roll sausage, beef","182","18.58","2.18","10.5"
"Honeydew melon, raw","36","0.54","9.09","0.14"
"Horchata, made with milk","91","1.42","19.65","0.63"
"HORMEL ALWAYS TENDER, Boneless Pork Loin, Fresh Pork","145","19.02","0.76","7.18"
"HORMEL ALWAYS TENDER, Center Cut Chops, Fresh Pork","167","18.74","0.84","9.62"
"HORMEL ALWAYS TENDER, Pork Loin Filets, Lemon Garlic-Flavored","118","17.83","1.79","4.16"
"HORMEL ALWAYS TENDER, Pork Tenderloin, Teriyaki-Flavored","119","18.2","4.63","3.07"
"HORMEL Canadian Style Bacon","122","16.88","1.87","4.94"
"Hormel Pillow Pak Sliced Turkey Pepperoni","243","30.99","3.78","11.52"
"HORMEL, Cure 81 Ham","106","18.43","0.21","3.59"
"Horned melon (Kiwano)","44","1.78","7.56","1.26"
"Horseradish sauce","503","1.09","10.05","50.89"
"Horseradish, prepared","48","1.18","11.29","0.69"
"Hot chocolate / cocoa, dry mix , made with non-dairy milk","81","1.88","13.9","1.92"
"Hot chocolate / cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk","83","3.87","15.53","0.61"
"Hot chocolate / cocoa, dry mix, made with water","54","0.9","11.27","0.54"
"Hot chocolate / cocoa, dry mix, made with water, with whipped cream","65","0.94","11.2","1.83"
"Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk","97","3.81","15.51","2.18"
"Hot chocolate / cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk","62","4.41","10.39","0.32"
"Hot chocolate / cocoa, dry mix, reduced sugar, made with non-dairy milk","59","2.31","8.66","1.72"
"Hot chocolate / cocoa, dry mix, reduced sugar, made with water","31","1.26","5.87","0.24"
"Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk","77","4.35","10.37","1.99"
"Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk","78","2.79","16.55","0.06"
"Hot chocolate / cocoa, made with non-dairy milk","76","0.93","15.02","1.3"
"Hot chocolate / cocoa, made with whole or reduced fat (2%) milk","91","2.73","16.53","1.54"
"Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk","56","3.05","10.45","0.25"
"Hot chocolate / cocoa, reduced sugar, made with non-dairy milk","54","1.19","8.92","1.48"
"Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk","69","2.99","10.44","1.73"
"Hot chocolate / cocoa, with whipped cream","101","2.7","16.25","2.8"
"Hot dog sandwich, beef, on wheat bread","294","11.6","17.56","19.72"
"Hot dog sandwich, beef, on wheat bun","290","11.57","21.65","17.4"
"Hot dog sandwich, beef, on white bread","295","10.92","18.86","19.58"
"Hot dog sandwich, beef, on white bun","296","10.85","23.73","17.37"
"Hot dog sandwich, meat and poultry, on wheat bread","272","10.3","18.95","17.21"
"Hot dog sandwich, meat and poultry, on wheat bun","271","10.46","22.84","15.27"
"Hot dog sandwich, meat and poultry, on white bread","274","9.62","20.25","17.08"
"Hot dog sandwich, meat and poultry, on white bun","278","9.74","24.92","15.24"
"Hot dog sandwich, reduced fat, on wheat bread","233","12.94","19","11.63"
"Hot dog sandwich, reduced fat, on wheat bun","237","12.71","22.89","10.5"
"Hot dog sandwich, reduced fat, on white bread","234","12.26","20.31","11.5"
"Hot dog sandwich, reduced fat, on white bun","244","11.99","24.96","10.47"
"Hot dog sandwich, turkey, on wheat bread","237","11.94","18.16","12.7"
"Hot dog sandwich, turkey, on white bread","238","11.26","19.46","12.57"
"Hot dog sandwich, vegetarian, on bread","243","16.56","20.15","10.69"
"Hot dog sandwich, vegetarian, on bun","251","15.76","24.3","9.89"
"Hot dog, beef","310","11.7","2.89","28"
"Hot dog, meat and poultry","277","9.72","5.02","24.18"
"Hot dog, reduced fat","216","13.75","5.1","15.66"
"Hot dog, turkey","223","12.23","3.81","17.29"
"Hot dog, vegetarian","233","19.61","7.7","13.73"
"Hot pepper sauce","12","1.29","0.8","0.76"
"HOT POCKETS Ham 'N Cheese Stuffed Sandwich, frozen","270","9.16","24.69","15"
"HOT POCKETS, CROISSANT POCKETS Chicken, Broccoli, and Cheddar Stuffed Sandwich, frozen","235","8.9","30.4","8.6"
"HOT POCKETS, meatballs & mozzarella stuffed sandwich, frozen","252","9.32","30.68","10.23"
"Hot Thai sauce","74","1.03","16.58","0.66"
"HOUSE FOODS Premium Firm Tofu","85","10.92","0.97","4.19"
"HOUSE FOODS Premium Soft Tofu","59","6.38","2.19","2.71"
"Huckleberries, raw (Alaska Native)","37","0.4","8.7","0.1"
"Huevos rancheros","121","6.68","8.85","6.65"
"Hummus, commercial","229","7.35","14.9","17.1"
"Hummus, home prepared","177","4.86","20.12","8.59"
"Hunan beef","105","7.08","7.29","5.3"
"HUNGRY MAN, Salisbury Steak With Gravy, frozen, unprepared","136","7.96","6.96","8.53"
"Hush puppies, prepared from recipe","337","7.7","46","13.5"
"Hush puppy","296","6.16","40.21","13.25"
"Hyacinth beans, mature seeds, cooked, boiled, with salt","117","8.14","20.7","0.58"
"Hyacinth beans, mature seeds, raw","344","23.9","60.74","1.69"
"Hyacinth-beans, immature seeds, cooked, boiled, drained, with salt","50","2.95","9.2","0.27"
"Ice cream bar, chocolate","329","4.41","25.17","23.89"
"Ice cream bar, covered with chocolate and nuts","303","5.62","11.89","25.84"
"Ice cream bar, stick or nugget, with crunch coating","358","2.11","37.12","25.26"
"Ice cream cake","283","2.95","39.28","12.67"
"Ice cream candy bar","323","4.4","30.9","20.2"
"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate","354","5.21","34.38","21.88"
"Ice cream cone, NFS","229","3.75","28.47","11.13"
"Ice cream cone, scooped, chocolate","224","3.97","30.23","10.84"
"Ice cream cone, scooped, chocolate, waffle cone","227","4.04","31.49","10.58"
"Ice cream cone, scooped, vanilla","215","3.68","25.82","10.84"
"Ice cream cone, scooped, vanilla, waffle cone","218","3.76","27.16","10.58"
"Ice cream cone, soft serve, chocolate","196","5.12","27.83","7.18"
"Ice cream cone, soft serve, chocolate, waffle cone","200","5.17","29.14","6.99"
"Ice cream cone, soft serve, vanilla","189","4.91","31.44","4.91"
"Ice cream cone, soft serve, vanilla, waffle cone","193","4.96","32.67","4.77"
"Ice cream cones, cake or wafer-type","417","8.1","79","6.9"
"Ice cream cones, sugar, rolled-type","402","7.9","84.1","3.8"
"Ice cream cookie sandwich","240","3.7","39.6","7.4"
"Ice cream cookie sandwich","317","4.61","43.35","14.11"
"Ice cream sandwich","237","4.29","37.14","8.57"
"Ice cream sandwich, chocolate","270","4.5","39.33","11.8"
"Ice cream sandwich, made with light ice cream, vanilla","186","4.29","39.64","3.04"
"Ice cream sandwich, vanilla","264","4.28","35.88","11.8"
"Ice cream sandwich, vanilla, light, no sugar added","200","5.71","42.86","2.86"
"Ice cream soda, chocolate","87","1","15.23","2.9"
"Ice cream soda, flavors other than chocolate","85","0.92","14.02","2.9"
"Ice cream sundae cone","254","3","28.89","14"
"Ice cream sundae, caramel topping","213","2.95","30.63","9.18"
"Ice cream sundae, fruit topping","221","2.72","32.7","9.2"
"Ice cream sundae, hot fudge topping","243","3.7","31.94","11.16"
"Ice cream, bar or stick, chocolate covered","331","4.1","24.5","24.1"
"Ice cream, chocolate","216","3.8","28.2","11"
"Ice cream, chocolate, with additional ingredients","249","3.93","34.39","11.76"
"Ice cream, fried","282","3.94","32.77","15.16"
"Ice cream, light, soft serve, chocolate","141","3.36","23.15","3.69"
"Ice cream, lowfat, no sugar added, cone, added peanuts and chocolate sauce","265","5.33","40.01","9.33"
"Ice cream, NFS","221","3.57","26.36","11.3"
"Ice cream, soft serve, chocolate","222","4.1","22.2","13"
"Ice cream, soft serve, chocolate","187","5","25.7","7.19"
"Ice cream, soft serve, vanilla","180","4.78","29.46","4.83"
"Ice cream, vanilla","207","3.5","23.6","11"
"Ice cream, vanilla, with additional ingredients","242","3.67","30.51","11.76"
"Ice creams, BREYERS, 98% Fat Free Chocolate","136","3.89","30.18","2.17"
"Ice creams, BREYERS, All Natural Light French Chocolate","201","5.3","29.68","7.28"
"Ice creams, BREYERS, All Natural Light Mint Chocolate Chip","196","4.69","28.39","7.09"
"Ice creams, BREYERS, All Natural Light Vanilla Chocolate Strawberry","161","4.69","26.06","4.35"
"Ice creams, BREYERS, No Sugar Added, Butter Pecan","180","3.99","21.3","10.3"
"Ice creams, BREYERS, No Sugar Added, Chocolate Caramel","151","3.54","25.17","5.8"
"Ice creams, BREYERS, No Sugar Added, Vanilla","143","3.68","21.92","6.2"
"Ice creams, BREYERS, No Sugar Added, Vanilla Chocolate Strawberry","143","3.71","21.7","6.26"
"Ice creams, chocolate","216","3.8","28.2","11"
"Ice creams, chocolate, light","187","5","25.7","7.19"
"Ice creams, chocolate, light, no sugar added","173","3.54","26.79","5.74"
"Ice creams, chocolate, rich","251","4.72","19.78","16.98"
"Ice creams, regular, low carbohydrate, chocolate","237","3.8","26.8","12.7"
"Ice creams, regular, low carbohydrate, vanilla","216","3.17","22.23","12.7"
"Ice creams, strawberry","192","3.2","27.6","8.4"
"Ice creams, vanilla","207","3.5","23.6","11"
"Ice creams, vanilla, fat free","138","4.48","30.06","0"
"Ice creams, vanilla, light","180","4.78","29.46","4.83"
"Ice creams, vanilla, light, soft-serve","126","4.9","21.8","2.6"
"Ice creams, vanilla, rich","249","3.5","22.29","16.2"
"Iced Coffee, brewed","1","0.09","0","0.02"
"Iced Coffee, pre-lightened and pre-sweetened","31","0.25","4.94","1.12"
"Iced Tea / Lemonade juice drink","34","0.2","9.15","0.05"
"Iced Tea / Lemonade juice drink, diet","2","0","0.57","0"
"Iced Tea / Lemonade juice drink, light","21","0.22","6.12","0.04"
"Icing, chocolate","397","1.1","63.2","17.6"
"Icing, white","418","0","67.89","16.23"
"Idli","128","6.36","24.98","0.35"
"Imitation cheese, american or cheddar, low cholesterol","390","25","1","32"
"Imitation crab meat","95","7.62","15","0.46"
"Incaparina, dry mix (corn and soy flours), unprepared","379","21.75","60.53","5.58"
"Industrial oil as ingredient in food","892","0","0","100"
"Infant formula, ABBOTT NUTRITION, SIMILAC, GO AND GROW, powder, with ARA and DHA","512","15.36","52.2","27.65"
"Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, with iron, powder, not reconstituted","517","12.6","53.57","28.09"
"Infant Formula, GERBER GOOD START 2, GENTLE PLUS, powder","492","10.8","57.1","25.1"
"Infant Formula, GERBER GOOD START 2, GENTLE PLUS, ready-to-feed","66","1.44","7.61","3.34"
"Infant formula, GERBER, GOOD START 2 SOY, with iron, powder","501","12.5","55.6","25.6"
"Infant formula, MEAD JOHNSON, Enfamil Premature 30 Calories, ready to feed, with ARA and DHA","101","3.2","11.13","4.8"
"Infant formula, MEAD JOHNSON, ENFAMIL, AR, powder, with ARA and DHA","504","12.4","57.4","25"
"Infant formula, MEAD JOHNSON, ENFAMIL, AR, ready-to-feed, with ARA and DHA","71","1.64","8.73","3.3"
"Infant formula, MEAD JOHNSON, ENFAMIL, ENFACARE, with iron, powder, with ARA and DHA","505","13.9","53.8","26"
"Infant formula, MEAD JOHNSON, ENFAMIL, ENFAGROW, Soy, Toddler transitions, with ARA and DHA,  powder","476","15.7","56","21"
"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, PurAmino, powder, not reconstituted","512","13.9","55.68","26"
"Infant formula, MEAD JOHNSON, ENFAMIL, Premature, with iron, 24 calories, ready-to-feed","81","2.6","8.88","3.9"
"Infant Formula, MEAD JOHNSON, ENFAMIL, Premium LIPIL, Infant, powder","510","10.8","57","27"
"Infant formula, MEAD JOHNSON, ENFAMIL, PROSOBEE, with iron, powder, not reconstituted, with ARA and DHA","512","12.7","54.6","27"
"Infant formula, MEAD JOHNSON, NEXT STEP PROSOBEE, powder, not reconstituted","480","15.6","57.1","21"
"Infant formula, NESTLE, GOOD START SOY, with DHA and ARA, liquid concentrate","132","3.31","14.71","6.67"
"Infant formula, PBM PRODUCTS, store brand, powder","524","12","56","28"
"Infant formula, PBM PRODUCTS, store brand, soy, liquid concentrate, not reconstituted","126","3.6","12.18","7"
"Infant formula, PBM PRODUCTS, store brand, soy, powder","508","13.6","52.2","27.2"
"Injera, Ethiopian bread","93","2.55","19.39","0.68"
"Interstate Brands Corp, Wonder Hamburger Rolls","273","8.07","50.84","4.15"
"Italian dressing, fat free","47","0.97","8.75","0.87"
"Italian dressing, light","102","0.39","9.99","6.68"
"Italian dressing, made with vinegar and oil","240","0.41","12.12","21.12"
"Italian Ice","128","0.4","32.6","0"
"Italian Ice, no sugar added","24","0","5.92","0"
"Italian sandwich on wheat","308","16.42","17.53","18.92"
"Italian sandwich on white","309","15.7","18.9","18.78"
"Italian sandwich or sub, restaurant","313","16.23","16.42","20.05"
"Italian sausage","317","18.2","2.15","26.2"
"Italian sausage sandwich on wheat","293","15.18","21.38","16.32"
"Italian sausage sandwich on white","300","14.45","23.47","16.29"
"Jackfruit, canned, syrup pack","92","0.36","23.94","0.14"
"Jackfruit, raw","95","1.72","23.25","0.64"
"Jagerbomb","102","0.34","15.97","0.03"
"Jai, Monk's Food","60","4.25","7.72","1.86"
"Jam","278","0.37","68.86","0.07"
"Jam or jelly, fruit juice sweetened","212","0","52.93","0"
"Jam or jelly, NFS","261","0.18","67.12","0.03"
"Jam or jelly, reduced sugar","151","0","37.6","0.1"
"Jam or jelly, sugar free","121","0.55","29.6","0"
"Jambalaya with meat and rice","161","13.76","8.65","7.97"
"Jams and preserves","278","0.37","68.86","0.07"
"Jams and preserves, apricot","242","0.7","64.4","0.2"
"Jams and preserves, no sugar (with sodium saccharin), any flavor","132","0.3","53.42","0.3"
"Jams, preserves, marmalade, reduced sugar","151","0","37.6","0.1"
"Jams, preserves, marmalades, sweetened with fruit juice","212","0","52.93","0"
"Java-plum, (jambolan), raw","60","0.72","15.56","0.23"
"Jellies","266","0.15","69.95","0.02"
"Jellies, no sugar (with sodium saccharin), any flavors","121","0.55","29.6","0"
"Jellies, reduced sugar, home preserved","179","0.3","46.1","0.03"
"Jelly","266","0.15","69.95","0.02"
"Jelly sandwich, NFS","267","5.72","57.5","2.16"
"Jelly sandwich, on wheat bread","265","6.9","55.23","2.39"
"Jellyfish, dried, salted","36","5.5","0","1.4"
"Jerusalem-artichokes, raw","73","2","17.44","0.01"
