"Item + description (per 100g)","Calories (kcal per 100g)","Protein (g per 100g)","Carbs (g per 100g)","Fats (g per 100g)"
"Baby Toddler juice, grape","62","0","15.38","0"
"Baby Toddler mangoes","60","0.82","14.98","0.38"
"Baby Toddler meat stick","188","13.7","1.4","14.2"
"Baby Toddler meat, NFS","112","12.58","1.25","5.99"
"Baby Toddler multiple fruit, Stage 2","68","0.68","16.44","0.21"
"Baby Toddler multiple vegetables, Stage 2","44","1.44","9.56","0.25"
"Baby Toddler peaches, Stage 1","65","0.94","14.48","0.33"
"Baby Toddler pears, Stage 1","42","0.3","10.8","0.2"
"Baby Toddler peas, Stage 1","50","3.27","8.36","0.43"
"Baby Toddler prunes","100","1","23.52","0.2"
"Baby Toddler pudding","86","1.76","17.58","0.98"
"Baby Toddler puffs, fruit","344","6.19","85.79","2.3"
"Baby Toddler snack, NFS","359","7.34","83.4","3.29"
"Baby Toddler squash, Stage 1","28","0.81","5.73","0.2"
"Baby Toddler sweet potatoes, Stage 1","57","1.1","13.2","0.1"
"Baby Toddler turkey","111","11.5","1.4","6.2"
"Baby Toddler vegetable, NFS","44","1.44","9.56","0.25"
"Baby Toddler vegetables and meat","64","2.95","11.18","1.08"
"Baby Toddler vegetables, with grain","58","1.84","12.01","0.5"
"Baby Toddler wheels","413","10","78.89","6.41"
"Baby Toddler yogurt melts","380","14.29","71.82","4"
"Baby Toddler yogurt, plain","78","3.82","5.57","4.48"
"Baby Toddler yogurt, with fruit","98","3.48","11.9","4.04"
"Babyfood, apple yogurt dessert, strained","93","0.8","19.5","1.6"
"Babyfood, apple-banana juice","51","0.2","12.3","0.1"
"Babyfood, apples with ham, strained","62","2.6","10.9","0.9"
"Babyfood, Baby MUM MUM Rice Biscuits","391","12.5","83.21","0.87"
"Babyfood, baked product, finger snacks cereal fortified","421","6.4","76.68","9.9"
"Babyfood, banana juice with low fat yogurt","86","2.5","17.54","0.8"
"Babyfood, banana no tapioca, strained","91","1","21.34","0.2"
"Babyfood, beverage, GERBER, GRADUATES, FRUIT SPLASHERS","29","0","7.35","0"
"Babyfood, carrots and beef, strained","59","3.4","5.7","2.5"
"Babyfood, carrots, toddler","21","0.6","5.23","0.3"
"Babyfood, cereal, barley, dry fortified","376","13.2","69.4","6.6"
"Babyfood, cereal, barley, prepared with whole milk","84","3.73","9.94","3.26"
"Babyfood, cereal, brown rice, dry, instant","406","8.7","85.98","3"
"Babyfood, cereal, egg yolks and bacon, junior","79","2.5","6.2","5"
"Babyfood, cereal, high protein, prepared with whole milk","111","8.7","11.6","3.8"
"Babyfood, cereal, high protein, with apple and orange, dry","374","25.4","57.6","6.5"
"Babyfood, cereal, high protein, with apple and orange, prepared with whole milk","112","6.9","13.4","3.9"
"Babyfood, cereal, mixed, dry fortified","399","6.66","78.21","6.66"
"Babyfood, cereal, mixed, prepared with whole milk","96","4.14","12.3","3.38"
"Babyfood, cereal, mixed, with applesauce and bananas, strained","82","0.71","18.38","0.51"
"Babyfood, cereal, mixed, with bananas, dry","391","10.7","77.1","4.6"
"Babyfood, cereal, mixed, with honey, prepared with whole milk","115","5","15.9","3.6"
"Babyfood, cereal, oatmeal, dry fortified","394","10.99","73.48","6.36"
"Babyfood, cereal, rice with pears and apple, dry, instant fortified","389","6.6","88.5","0.9"
"Babyfood, cereal, rice, dry fortified","390","6.65","83.14","2.19"
"Babyfood, cereal, rice, with bananas, dry","404","8.7","79.9","4.2"
"Babyfood, cereal, rice, with honey, prepared with whole milk","115","3.9","17.1","3.3"
"Babyfood, cereal, whole wheat, with apples, dry fortified","402","6.6","83.2","4.8"
"Babyfood, cereal, with egg yolks, junior","52","1.9","7.1","1.8"
"Babyfood, cookie, baby, fruit","435","6.8","73.7","12.6"
"Babyfood, cookies","433","11.8","67.1","13.2"
"Babyfood, cookies, arrowroot","424","7.6","75.4","10"
"Babyfood, crackers, vegetable","477","8.4","66.85","19.6"
"Babyfood, dessert, banana pudding, strained","68","1","14.14","0.8"
"Babyfood, dessert, custard pudding, vanilla, strained","85","1.6","16","2"
"Babyfood, dessert, fruit pudding, pineapple, strained","81","1.3","20.3","0.3"
"Babyfood, dinner, beef and rice, toddler","82","5","8.8","2.9"
"Babyfood, dinner, beef lasagna, toddler","77","4.2","10","2.1"
"Babyfood, dinner, beef with vegetables","96","2.03","6.36","6.93"
"Babyfood, dinner, chicken and rice","51","1.6","9.2","0.9"
"Babyfood, dinner, chicken noodle, junior","74","3.53","7.8","3.23"
"Babyfood, dinner, chicken stew, toddler","78","5.2","6.4","3.7"
"Babyfood, dinner, macaroni, beef and tomato sauce, toddler","82","4.34","11.53","1.9"
"Babyfood, dinner, mixed vegetable, junior","34","1.01","7.88","0.11"
"Babyfood, dinner, turkey, rice, and vegetables, toddler","60","3.8","7.5","1.6"
"Babyfood, dinner, vegetables and beef, junior","77","2.21","8.84","3.6"
"Babyfood, finger snacks, GERBER, GRADUATES, PUFFS, apple and cinnamon","344","6.19","85.79","2.3"
"Babyfood, fortified cereal bar, fruit filling","344","5.43","68.63","5.3"
"Babyfood, fruit, applesauce and pineapple, junior","39","0.1","10.5","0.1"
"Babyfood, fruit, banana and strawberry, junior","109","0.71","25.78","0.37"
"Babyfood, GERBER, GRADUATES Lil Biscuits Vanilla Wheat","407","7.97","72.48","9.27"
"Babyfood, grape juice, no sugar, canned","62","0","15.38","0"
"Babyfood, juice treats, fruit medley, toddler","347","0","86.68","0.02"
"Babyfood, meat, beef, junior","81","12.03","2.43","2.52"
"Babyfood, meat, chicken sticks, junior","188","14.6","1.5","14.4"
"Babyfood, meat, chicken, junior","146","14","0","9.6"
"Babyfood, meat, chicken, strained","130","13.7","0.1","7.9"
"Babyfood, meat, ham, junior","97","11.3","3.7","3.8"
"Babyfood, meat, lamb, junior","112","15.2","0","5.2"
"Babyfood, meat, lamb, strained","94","14.07","0.85","3.41"
"Babyfood, meat, meat sticks, junior","184","13.4","1.1","14.6"
"Babyfood, meat, turkey, junior","111","11.5","1.4","6.2"
"Babyfood, mixed fruit juice with low fat yogurt","74","2.4","14.68","0.8"
"Babyfood, Multigrain whole grain cereal, dry fortified","407","6.67","80.06","6.67"
"Babyfood, peas, dices, toddler","64","3.9","10.3","0.8"
"Babyfood, pretzels","397","10.8","82.2","2"
"Babyfood, prunes, without vitamin c, strained","100","1","23.52","0.2"
"Babyfood, ravioli, cheese filled, with tomato sauce","99","3.6","16.3","2.2"
"Babyfood, rice and apples, dry","396","6.7","86.89","2.4"
"Babyfood, rice cereal, dry, EARTHS BEST ORGANIC WHOLE GRAIN, fortified only with iron","386","7.5","78.06","4.9"
"Babyfood, snack, GERBER GRADUATE FRUIT  STRIPS, Real Fruit Bars","330","0.82","76.61","2.24"
"Babyfood, Snack, GERBER, GRADUATES, LIL CRUNCHIES, baked whole grain corn snack","503","0","61.59","28.57"
"Babyfood, snack, GERBER, GRADUATES, YOGURT MELTS","380","14.29","71.82","4"
"Babyfood, vegetables, spinach, creamed, strained","37","2.5","5.7","1.3"
"Babyfood, water, bottled, GERBER, without added fluoride","0","0","0","0"
"Bacalaitos fritos","281","14.43","36.1","8.63"
"Bacon and beef sticks","517","29.1","0.8","44.2"
"Bacon and tomato dressing","326","1.8","2","35"
"Bacon biscuit sandwich","382","13.71","29.26","23.2"
"Bacon bits, meatless","476","32","28.6","25.9"
